index, class, N
  1,  0, 76
  2,  1, 48
  3,  2,240
  4,  3, 28
  5,  4, 95
  6,  5, 11
  7,  6, 13
  8,  8, 15
  9, 10, 23
 10, 11,  4
 11, 12,  2
 12, 13, 34
 13, 14, 56
 14, 15, 34
 15, 16, 49
 16, 17,  3
 17, 18,  9
 18, 19,  2
 19, 20,  2
 20, 22,  2
 21, 24, 10
 22, 26,  8
 23, 28,  3
 24, 29, 13
 25, 30, 29
 26, 32,  6
 27, 33,  1
 28, 34,  5
 29, 35, 17
 30, 36, 27
 31, 37,  3
 32, 40, 25
 33, 41, 12
 34, 43, 26
 35, 45, 10
 36, 46, 11
 37, 48, 24
 38, 49, 13
 39, 50, 14
 40, 51,  2
 41, 52,  3
 42, 53,  1
 43, 54, 11
 44, 55,  2
 45, 56,  3
 46, 57,768
 47, 59,  4
 48, 62,  1
 49, 65,  4
 50, 67,  3
 51, 68, 11
 52, 70,  1
 53, 75,  4
 54, 80, 11
 55, 81, 17
 56, 82,  2
 57, 84,  8
 58, 85,  1
 59, 89,  2
 60, 90, 18
 61, 91,  8
 62, 94,  4
 63,100, 10
 64,101, 25
 65,103,  2
 66,104,  8
 67,105,  5
 68,106,  3
 69,109,  8
 70,110,  2
 71,111,  1
 72,114,  3
 73,115,  1
 74,117,  4
 75,121, 15
 76,122,  6
 77,125,  4
 78,126,  2
 79,127,  3
 80,128,  3
 81,130,  2
 82,131,  3
 83,132,  4
 84,135, 11
 85,136,  1
 86,137,  2
 87,138,  4
 88,139,  1
 89,141,  1
 90,143, 33
 91,144,  1
 92,146,  1
 93,147,  6
 94,149, 23
 95,150, 25
 96,153,  5
 97,155,  2
 98,157,  2
 99,159,  4
100,160,  4
101,163, 17
102,164, 10
103,168,  5
104,170,  1
105,172,  7
106,173, 10
107,175,  3
108,176,  1
109,177,  3
110,179, 35
111,181,  5
112,185,  1
113,186,  7
114,187,  1
115,189,  2
116,190,  1
117,193,  2
118,194,  6
119,196,  3
120,198,  1
121,199, 12
122,200, 17
123,201,  5
124,203,  3
125,204,  1
126,208,  7
127,209,  1
128,213,  2
129,215,  3
130,217,  6
131,220,  4
132,223,  1
133,225, 17
134,227,  5
135,237,  1
136,238,  4
137,239,  2
